"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YIR038C",362.946777346097,-0.267958839317267,0.190204164445846,-1.40879585942798,0.158895539854568,0.38907521783366
"YIR027C",200.034118954773,0.052153269114028,0.248722118955987,0.20968488581933,0.833913622667715,0.93333645893877
"YIL088C",1379.11434009672,-0.026169554268952,0.108622397792239,-0.240922266501667,0.809615364187998,0.92266254316684
"YIR028W",90.8942328674561,-0.0834984995154056,0.359075260825918,-0.23253760039984,0.816120486568839,0.926469638107743
"YIL001W",311.040395889646,-0.322584966664639,0.201096289516857,-1.60413186856736,0.108684988592718,0.310053966438727
"tK(CUU)I",1.37121862785672,0.8824778981095,2.81324598075306,0.313686717815296,0.753758989617696,NA
"YIL173W",27.2690837282095,-0.309909742712881,0.638974576564522,-0.485011069421769,0.62766849342197,NA
"tE(UUC)I",1.10171954431627,0.456249607692169,3.0860474370566,0.147842707216234,0.882466904177378,NA
"YIL177C",0.38510251081082,0.812531519023939,4.84361822705486,0.167753006313628,0.866777594002304,NA
"YIL054W",10.3220291274549,0.0145361889003506,1.06712783414157,0.0136217877889428,0.989131721940828,NA
"YIL148W",14053.2481518568,-0.319870616801457,0.0648351337898948,-4.9336000113462,8.07276760929274e-07,1.64390904043779e-05
"YIR017W-A",1.15530753243246,2.39687852254869,3.21021251309969,0.746641698257644,0.455279871024766,NA
"YIL145C",1333.03675110521,-0.39880414753285,0.105136764183597,-3.79319404234688,0.000148721847796274,0.0017607660627043
"YIR006C",4617.06723243829,-0.12019830594529,0.0720464677365963,-1.66834419120641,0.095247420146854,0.28600448053624
"YIL013C",519.985748609125,-0.391933359603533,0.154796105416949,-2.53193294849277,0.0113435680739754,0.0644259444363715
"YIL114C",549.480152001668,-0.150917957112235,0.174005244920635,-0.867318437332564,0.385767557318883,0.644332512537154
"YIR035C",744.765409240975,-0.0241750050144633,0.148854460978359,-0.162406990395659,0.870985366380383,0.948547513918562
"YIR007W",353.151422190844,0.084186529167252,0.198695704559448,0.423695768129021,0.67178770184916,0.847490680413449
"YIL113W",117.678980397995,0.206540181012148,0.334573649117329,0.617323514738957,0.53702135972165,0.757888413036548
"YIL036W",511.195975197172,0.31432636464335,0.159100843010028,1.97564235799516,0.0481952976409995,0.181380152412364
"YIR010W",313.596291023182,0.0623458759100943,0.203578933099808,0.306249153391173,0.759414950069254,0.898654735885827
"YIL033C",1733.21596699499,-0.3547394407973,0.0982968869420843,-3.60885732837409,0.000307548682077427,0.00328906811151906
"YIR009W",95.3376985637459,0.537352263297938,0.365239009399524,1.4712345874045,0.141227686433801,0.363408509628586
"YIL041W",2643.94584598713,0.0185173614475657,0.100124603093698,0.184943169564797,0.853273610584536,0.942657766674571
"YIL087C",185.851515724405,-0.689800888007937,0.26215389030979,-2.63128228687658,0.00850633487064537,0.0511110249738349
"ICR1",347.204106811151,-0.22381968283154,0.187940317798764,-1.1909082918078,0.233689589040009,0.488888850744976
"YIR036C",352.753436235788,0.155750690939799,0.190064253701719,0.819463354662311,0.412522101343955,0.665933631457523
"YIL122W",141.837576663504,0.471999739427449,0.307528390401411,1.53481679792671,0.124828835420297,0.337875030494062
"tI(AAU)I2",3.23376118068741,-0.123731377691302,1.81457631176029,-0.0681874754395265,0.945636396917536,NA
"YIL021C-A",0,NA,NA,NA,NA,NA
